date,city,pm25,pm10,no2,o3,co,aqi
2023-01-01,Delhi,157.9,294.0,90.8,14.4,8.49,208
2023-01-02,Delhi,215.7,397.5,99.7,5.0,15.98,266
2023-01-03,Delhi,133.8,238.9,56.4,8.6,9.43,191
2023-01-04,Delhi,203.7,355.2,118.9,5.0,11.65,254
2023-01-05,Delhi,167.9,271.4,94.6,5.0,12.4,218
2023-01-06,Delhi,221.9,357.1,95.2,5.0,13.32,272
2023-01-07,Delhi,130.1,218.7,74.2,17.4,7.28,190
2023-01-08,Delhi,170.7,314.0,111.5,5.0,9.63,221
2023-01-09,Delhi,153.3,279.9,90.4,25.0,9.07,204
2023-01-10,Delhi,210.5,374.6,121.9,5.2,11.63,260
2023-01-11,Delhi,189.3,312.2,103.9,14.5,12.95,239
2023-01-12,Delhi,209.0,317.6,140.4,12.7,20.14,259
2023-01-13,Delhi,170.9,335.1,93.9,11.7,11.13,221
2023-01-14,Delhi,135.6,261.7,70.5,16.5,8.92,192
2023-01-15,Delhi,139.5,247.4,86.0,18.5,13.68,194
2023-01-16,Delhi,136.5,225.6,64.1,23.3,8.33,193
2023-01-17,Delhi,185.7,364.1,91.2,18.2,11.09,236
2023-01-18,Delhi,228.2,417.3,104.0,5.0,14.0,278
2023-01-19,Delhi,189.5,346.0,72.1,12.1,15.86,240
2023-01-20,Delhi,159.0,265.3,106.7,13.3,13.47,209
2023-01-21,Delhi,150.8,272.7,72.0,23.6,10.75,201
2023-01-22,Delhi,117.8,230.9,70.9,24.1,6.37,183
2023-01-23,Delhi,194.8,289.1,92.9,14.6,16.46,245
2023-01-24,Delhi,157.2,260.2,91.1,19.8,12.8,208
2023-01-25,Delhi,178.3,287.3,84.1,16.0,17.47,229
2023-01-26,Delhi,201.5,351.6,100.6,5.0,10.81,252
2023-01-27,Delhi,153.0,303.9,104.3,22.8,7.71,204
2023-01-28,Delhi,165.1,323.2,103.6,7.8,12.59,215
2023-01-29,Delhi,147.9,265.9,63.6,8.7,14.32,199
2023-01-30,Delhi,216.3,393.6,136.2,10.0,20.82,266
2023-01-31,Delhi,199.5,398.1,121.5,15.3,18.27,250
2023-02-01,Delhi,138.7,212.1,75.1,5.0,11.21,194
2023-02-02,Delhi,169.2,269.9,92.0,20.1,14.92,220
2023-02-03,Delhi,238.3,423.2,152.7,5.0,12.01,288
2023-02-04,Delhi,156.2,270.6,69.2,11.3,12.57,207
2023-02-05,Delhi,178.7,303.8,97.1,7.3,15.07,229
2023-02-06,Delhi,195.0,342.7,74.0,5.0,10.44,245
2023-02-07,Delhi,142.3,255.0,73.3,19.1,14.38,196
2023-02-08,Delhi,151.4,234.7,89.9,14.2,13.74,202
2023-02-09,Delhi,218.8,409.2,143.4,10.7,20.79,269
2023-02-10,Delhi,188.3,286.0,91.6,18.6,11.0,238
2023-02-11,Delhi,182.1,357.2,90.2,17.1,16.1,232
2023-02-12,Delhi,137.5,232.5,88.7,17.8,13.56,193
2023-02-13,Delhi,165.0,316.4,81.9,13.3,8.77,215
2023-02-14,Delhi,187.4,369.5,104.7,28.6,12.72,238
2023-02-15,Delhi,141.2,268.0,62.2,13.2,10.93,195
2023-02-16,Delhi,205.7,344.0,90.8,5.0,16.43,256
2023-02-17,Delhi,182.0,345.4,78.1,21.9,17.48,232
2023-02-18,Delhi,113.8,213.9,67.2,21.6,6.17,181
2023-02-19,Delhi,134.8,235.3,81.6,23.7,9.31,192
2023-02-20,Delhi,194.6,311.7,134.7,10.9,10.68,245
2023-02-21,Delhi,174.8,315.3,96.7,23.4,17.53,225
2023-02-22,Delhi,238.2,386.3,102.4,5.0,17.91,288
2023-02-23,Delhi,182.7,343.8,124.5,18.5,13.69,233
2023-02-24,Delhi,206.5,409.2,86.8,19.9,20.47,256
2023-02-25,Delhi,140.0,234.8,56.6,21.1,14.15,195
2023-02-26,Delhi,131.2,247.4,88.3,25.3,8.83,190
2023-02-27,Delhi,184.8,331.7,84.1,14.2,17.4,235
2023-02-28,Delhi,203.4,361.5,114.8,17.3,12.28,253
2023-03-01,Delhi,193.5,316.2,94.9,18.1,12.98,244
2023-03-02,Delhi,211.4,359.5,118.9,7.8,15.42,261
2023-03-03,Delhi,177.6,289.1,77.1,5.0,12.2,228
2023-03-04,Delhi,125.4,234.7,55.0,14.8,6.66,187
2023-03-05,Delhi,120.9,213.1,49.9,26.0,7.14,185
2023-03-06,Delhi,159.6,302.6,98.1,11.5,12.12,210
2023-03-07,Delhi,152.8,265.5,62.0,23.9,13.98,203
2023-03-08,Delhi,253.5,399.5,130.6,5.0,16.0,303
2023-03-09,Delhi,158.8,260.6,66.0,17.9,13.79,209
2023-03-10,Delhi,159.1,253.0,93.9,20.4,11.2,210
2023-03-11,Delhi,102.4,176.8,57.6,24.9,6.4,175
2023-03-12,Delhi,102.2,160.3,49.8,18.0,7.4,175
2023-03-13,Delhi,154.0,294.7,71.7,21.1,12.09,204
2023-03-14,Delhi,105.5,201.5,45.8,9.7,7.72,177
2023-03-15,Delhi,145.4,265.6,59.9,40.5,6.84,197
2023-03-16,Delhi,127.8,193.8,92.1,16.2,8.57,188
2023-03-17,Delhi,175.7,303.6,86.3,15.0,10.42,226
2023-03-18,Delhi,119.7,213.2,79.1,18.7,7.03,184
2023-03-19,Delhi,106.8,205.1,60.4,21.8,10.17,177
2023-03-20,Delhi,88.4,148.0,43.4,40.2,5.33,168
2023-03-21,Delhi,173.2,308.1,77.7,15.3,11.84,223
2023-03-22,Delhi,157.6,283.2,88.8,18.3,8.53,208
2023-03-23,Delhi,121.9,228.6,75.2,18.9,11.52,185
2023-03-24,Delhi,137.3,255.7,63.3,12.0,12.5,193
2023-03-25,Delhi,141.8,247.2,60.7,20.1,10.35,196
2023-03-26,Delhi,130.3,205.2,82.4,21.5,7.52,190
2023-03-27,Delhi,159.8,309.5,93.0,5.3,14.82,210
2023-03-28,Delhi,111.4,221.2,72.7,32.0,8.57,180
2023-03-29,Delhi,136.0,221.7,71.3,17.8,9.47,193
2023-03-30,Delhi,128.8,216.0,68.3,18.5,10.05,189
2023-03-31,Delhi,133.0,232.9,57.1,11.9,13.3,191
2023-04-01,Delhi,97.5,144.9,75.9,25.8,4.81,173
2023-04-02,Delhi,124.9,240.7,49.7,41.8,6.1,187
2023-04-03,Delhi,126.7,230.9,71.2,5.0,7.47,188
2023-04-04,Delhi,125.6,240.8,72.2,18.3,7.23,187
2023-04-05,Delhi,160.2,248.8,76.9,6.9,8.22,211
2023-04-06,Delhi,127.1,195.9,56.8,27.4,11.32,188
2023-04-07,Delhi,119.0,224.1,56.7,19.7,5.19,184
2023-04-08,Delhi,152.4,294.0,76.0,27.7,8.79,203
2023-04-09,Delhi,60.2,115.7,32.6,30.2,5.79,153
2023-04-10,Delhi,125.5,236.7,60.2,38.4,8.23,187
2023-04-11,Delhi,130.4,258.9,71.1,14.2,5.83,190
2023-04-12,Delhi,140.7,255.2,66.4,31.9,12.5,195
2023-04-13,Delhi,67.8,112.8,29.6,24.0,2.95,157
