time,latitude,longitude,depth_km,magnitude,region,tsunami_risk,energy_joules
2015-01-01 04:08:16,49.1806,144.7755,12.2,4.3,Japan-Kuril Subduction Zone,0,177827941003.89227
2015-01-01 10:56:52,-15.5967,-74.8365,2.0,4.92,Andes Subduction Zone (Chile/Peru),0,1513561248436.2073
2015-01-01 12:29:53,38.9971,138.3913,109.4,5.04,Japan-Kuril Subduction Zone,0,2290867652767.77
2015-01-01 13:19:30,20.5779,55.8897,30.5,4.62,Himalaya-Alpide Belt,0,537031796370.25323
2015-01-02 01:40:26,-26.6689,-76.9047,2.0,4.03,Andes Subduction Zone (Chile/Peru),0,69984199600.22717
2015-01-03 00:34:17,40.9323,114.8036,35.9,5.05,Himalaya-Alpide Belt,0,2371373705661.6553
2015-01-04 06:16:36,-7.3546,129.0085,2.0,4.39,Indonesia-Philippines Arc,0,242661009508.24045
2015-01-04 11:43:59,-4.9013,-70.1963,24.8,4.41,Andes Subduction Zone (Chile/Peru),0,260015956316.52667
2015-01-04 18:59:32,-9.713,43.0304,9.1,4.42,East African Rift,0,269153480392.6914
2015-01-04 19:26:40,45.1909,91.0737,37.4,4.07,Himalaya-Alpide Belt,0,80352612218.56194
2015-01-05 08:20:31,-8.8539,-69.9731,66.3,4.11,Andes Subduction Zone (Chile/Peru),0,92257142715.47629
2015-01-05 15:38:28,-19.0587,-63.7247,86.2,5.42,Andes Subduction Zone (Chile/Peru),0,8511380382023.759
2015-01-05 17:03:39,-0.3547,128.3086,116.0,4.72,Indonesia-Philippines Arc,0,758577575029.182
2015-01-05 19:31:47,28.5467,87.8995,22.9,4.26,Himalaya-Alpide Belt,0,154881661891.24796
2015-01-06 03:47:34,31.8096,67.9606,34.3,4.0,Himalaya-Alpide Belt,0,63095734448.019424
2015-01-06 09:07:44,-8.8814,102.8557,215.0,4.17,Indonesia-Philippines Arc,0,113501081567.23143
2015-01-07 01:13:04,56.7332,-151.1076,14.5,4.16,Aleutian-Alaska Arc,0,109647819614.31828
2015-01-07 02:45:01,46.6907,78.9892,35.9,5.22,Himalaya-Alpide Belt,0,4265795188015.917
2015-01-07 07:09:41,-27.6671,-65.8538,93.7,4.85,Andes Subduction Zone (Chile/Peru),0,1188502227437.0166
2015-01-08 06:18:33,37.9838,-130.6004,2.0,4.75,California-Cascadia Fault System,0,841395141645.1964
2015-01-08 17:37:22,-11.0667,131.2209,2.0,4.6,Indonesia-Philippines Arc,0,501187233627.2715
2015-01-09 09:33:10,34.186,155.2807,116.1,4.85,Japan-Kuril Subduction Zone,0,1188502227437.0166
2015-01-09 13:40:28,55.1735,-150.9402,157.2,4.5,Aleutian-Alaska Arc,0,354813389233.57605
2015-01-10 15:49:19,-9.9962,-92.481,2.0,4.39,Andes Subduction Zone (Chile/Peru),0,242661009508.24045
2015-01-10 16:19:31,8.3187,-94.8164,21.8,4.08,Mexico-Central America Trench,0,83176377110.26709
2015-01-11 23:46:02,38.12,135.6827,46.2,4.89,Japan-Kuril Subduction Zone,0,1364583136588.9182
2015-01-12 08:45:22,20.2589,-86.4391,2.0,4.51,Mexico-Central America Trench,0,367282300498.0842
2015-01-13 02:24:42,15.4563,-92.4385,87.1,4.15,Mexico-Central America Trench,0,105925372517.72897
2015-01-13 14:45:21,-16.1566,-63.9372,119.5,4.64,Andes Subduction Zone (Chile/Peru),0,575439937337.1543
2015-01-13 22:52:58,-7.8049,117.9596,2.0,4.16,Indonesia-Philippines Arc,0,109647819614.31828
2015-01-14 00:47:29,33.5697,20.0896,17.1,6.52,Mediterranean-Aegean Zone,0,380189396320559.7
2015-01-14 14:12:56,43.0595,137.3718,2.0,4.64,Japan-Kuril Subduction Zone,0,575439937337.1543
2015-01-15 01:22:21,-2.1035,93.3318,119.0,5.03,Indonesia-Philippines Arc,0,2213094709605.632
2015-01-15 07:59:21,28.6918,61.928,35.8,4.33,Himalaya-Alpide Belt,0,197242273611.48535
2015-01-15 19:58:14,33.9073,29.7354,28.7,4.26,Mediterranean-Aegean Zone,0,154881661891.24796
2015-01-16 15:39:00,35.6933,143.6373,88.8,4.18,Japan-Kuril Subduction Zone,0,117489755493.95303
2015-01-17 01:00:45,30.5882,94.1134,39.0,4.22,Himalaya-Alpide Belt,0,134896288259.16505
2015-01-17 05:44:04,14.1912,-97.2697,2.0,4.84,Mexico-Central America Trench,0,1148153621496.8794
2015-01-17 14:34:29,6.323,124.5451,7.6,4.72,Indonesia-Philippines Arc,0,758577575029.182
2015-01-19 01:55:00,21.4247,64.9276,29.7,4.12,Himalaya-Alpide Belt,0,95499258602.14369
2015-01-19 18:04:23,32.9075,24.1727,11.9,4.68,Mediterranean-Aegean Zone,0,660693448007.5964
2015-01-19 22:10:12,-5.6959,118.5597,102.3,4.4,Indonesia-Philippines Arc,0,251188643150.95822
2015-01-20 01:12:00,-18.1406,-56.64,81.9,4.31,Andes Subduction Zone (Chile/Peru),0,184077200146.8958
2015-01-20 06:41:44,39.8324,77.213,36.9,4.4,Himalaya-Alpide Belt,0,251188643150.95822
2015-01-20 08:10:23,38.7076,14.3521,20.5,4.04,Mediterranean-Aegean Zone,0,72443596007.49892
