country,region,year,renewable_share_pct,gdp_per_capita_usd,total_energy_twh,population_millions
Australia,Oceania,2000,7.6,22326.22,1103.61,19.0
Australia,Oceania,2001,8.25,23074.96,1113.58,19.247
Australia,Oceania,2002,7.25,23706.8,1116.39,19.497
Australia,Oceania,2003,9.02,24822.08,1134.89,19.751
Australia,Oceania,2004,8.19,25992.57,1139.98,20.007
Australia,Oceania,2005,8.64,27103.96,1146.78,20.268
Australia,Oceania,2006,10.13,29232.91,1167.28,20.531
Australia,Oceania,2007,10.06,31108.81,1170.7,20.798
Australia,Oceania,2008,9.58,32061.53,1200.11,21.068
Australia,Oceania,2009,10.29,32474.84,1194.96,21.342
Australia,Oceania,2010,11.68,35134.95,1230.3,21.62
Australia,Oceania,2011,13.84,36844.96,1219.89,21.901
Australia,Oceania,2012,15.56,39933.74,1240.43,22.185
Australia,Oceania,2013,17.84,39696.71,1252.77,22.474
Australia,Oceania,2014,21.6,42291.76,1290.81,22.766
Australia,Oceania,2015,23.25,45733.8,1291.61,23.062
Australia,Oceania,2016,27.02,47058.93,1298.17,23.362
Australia,Oceania,2017,27.61,49411.83,1321.19,23.665
Australia,Oceania,2018,30.11,51449.2,1300.5,23.973
Australia,Oceania,2019,30.34,54104.45,1341.92,24.285
Australia,Oceania,2020,31.47,57092.8,1383.75,24.6
Australia,Oceania,2021,30.98,58438.02,1372.76,24.92
Australia,Oceania,2022,31.25,62826.08,1386.34,25.244
Australia,Oceania,2023,32.28,63661.32,1407.67,25.572
Brazil,South America,2000,42.15,3639.1,2194.63,175.0
Brazil,South America,2001,42.17,3904.06,2192.16,176.575
Brazil,South America,2002,42.78,3952.08,2258.57,178.164
Brazil,South America,2003,42.82,4162.13,2313.38,179.768
Brazil,South America,2004,43.11,4484.43,2344.54,181.386
Brazil,South America,2005,43.06,4650.61,2435.92,183.018
Brazil,South America,2006,42.73,4902.61,2441.42,184.665
Brazil,South America,2007,42.9,4987.07,2521.02,186.327
Brazil,South America,2008,44.48,5138.31,2534.78,188.004
Brazil,South America,2009,44.18,5439.98,2579.23,189.696
Brazil,South America,2010,44.25,5709.58,2621.79,191.403
Brazil,South America,2011,44.87,5959.75,2670.89,193.126
Brazil,South America,2012,45.61,6321.37,2765.02,194.864
Brazil,South America,2013,45.5,6455.08,2702.46,196.618
Brazil,South America,2014,45.26,6812.75,2759.48,198.388
Brazil,South America,2015,46.65,6971.41,2850.36,200.173
Brazil,South America,2016,47.12,7438.87,2917.32,201.975
Brazil,South America,2017,46.73,7715.73,2989.26,203.792
Brazil,South America,2018,47.28,7965.6,3035.87,205.626
Brazil,South America,2019,47.7,8382.35,3063.5,207.477
Brazil,South America,2020,47.9,8759.45,3161.9,209.344
Brazil,South America,2021,47.85,9134.59,3218.5,211.229
Brazil,South America,2022,48.1,9831.39,3248.3,213.13
Brazil,South America,2023,48.31,9985.23,3331.77,215.048
Canada,North America,2000,59.31,24582.07,2910.86,30.7
Canada,North America,2001,60.3,24889.91,2930.84,30.976
Canada,North America,2002,61.26,25325.07,2883.86,31.255
Canada,North America,2003,61.56,26568.92,2947.2,31.536
Canada,North America,2004,61.52,27530.65,2941.15,31.82
Canada,North America,2005,62.27,27927.06,2948.43,32.107
Canada,North America,2006,62.38,29396.62,3001.34,32.396
Canada,North America,2007,63.15,30204.0,3032.4,32.687
Canada,North America,2008,62.96,32052.82,3054.86,32.981
Canada,North America,2009,62.92,32739.39,3053.51,33.278
Canada,North America,2010,63.68,33725.5,3023.49,33.578
Canada,North America,2011,62.07,35000.29,3050.52,33.88
Canada,North America,2012,64.4,36406.11,3076.25,34.185
Canada,North America,2013,62.33,37903.76,3069.64,34.492
Canada,North America,2014,63.84,38289.53,3083.11,34.803
Canada,North America,2015,65.49,39606.12,3117.76,35.116
Canada,North America,2016,65.85,42334.84,3103.71,35.432
Canada,North America,2017,65.22,42837.63,3096.12,35.751
Canada,North America,2018,65.83,43666.64,3119.27,36.073
Canada,North America,2019,67.43,46485.78,3165.62,36.397
Canada,North America,2020,66.67,48128.91,3159.27,36.725
Canada,North America,2021,68.65,48335.84,3183.52,37.056
Canada,North America,2022,67.65,51381.75,3207.68,37.389
Canada,North America,2023,68.24,53584.79,3188.01,37.726
Chile,South America,2000,30.16,4942.85,246.69,15.4
Chile,South America,2001,29.68,5271.09,255.22,15.523
Chile,South America,2002,30.47,5562.57,264.22,15.647
Chile,South America,2003,30.17,5855.58,269.64,15.773
Chile,South America,2004,30.18,5999.76,275.11,15.899
Chile,South America,2005,31.17,6521.05,282.16,16.026
Chile,South America,2006,28.99,6691.2,289.35,16.154
Chile,South America,2007,29.87,7191.42,296.34,16.283
Chile,South America,2008,30.39,7492.13,313.71,16.414
Chile,South America,2009,31.43,7719.29,315.59,16.545
Chile,South America,2010,32.27,8251.55,325.66,16.677
Chile,South America,2011,32.56,8768.74,329.53,16.811
Chile,South America,2012,34.18,9257.66,339.09,16.945
Chile,South America,2013,35.78,9628.75,346.03,17.081
Chile,South America,2014,39.43,10382.89,348.06,17.217
Chile,South America,2015,40.65,10837.52,361.74,17.355
Chile,South America,2016,40.78,11186.74,369.48,17.494
Chile,South America,2017,42.01,11945.41,377.34,17.634
Chile,South America,2018,42.46,12785.66,391.29,17.775
Chile,South America,2019,42.68,13454.11,411.66,17.917
Chile,South America,2020,44.24,13494.49,416.6,18.061
Chile,South America,2021,44.04,14259.88,433.1,18.205
Chile,South America,2022,44.8,15549.78,440.45,18.351
Chile,South America,2023,44.04,15746.01,453.52,18.497
China,Asia,2000,16.92,1016.14,13029.0,1270.0
China,Asia,2001,15.92,1103.79,13917.78,1273.81
China,Asia,2002,17.61,1256.11,14495.51,1277.631
China,Asia,2003,16.73,1396.78,15374.39,1281.464
China,Asia,2004,16.84,1569.53,16124.36,1285.309
China,Asia,2005,16.63,1724.64,16999.46,1289.165
China,Asia,2006,17.04,1905.96,17832.97,1293.032
China,Asia,2007,17.93,2114.99,19051.69,1296.911
China,Asia,2008,17.91,2399.48,19851.86,1300.802
China,Asia,2009,18.74,2709.52,21273.69,1304.704
China,Asia,2010,19.48,3036.75,22547.38,1308.618
China,Asia,2011,21.02,3509.1,23628.91,1312.544
China,Asia,2012,21.24,3875.55,24777.43,1316.482
China,Asia,2013,21.99,4200.56,26346.0,1320.431
China,Asia,2014,25.06,4789.74,27596.34,1324.393
China,Asia,2015,25.74,5294.5,29490.68,1328.366
China,Asia,2016,27.96,5930.08,30273.29,1332.351
China,Asia,2017,28.64,6676.6,32439.46,1336.348
China,Asia,2018,29.2,7512.71,33670.29,1340.357
China,Asia,2019,30.12,8279.39,35717.79,1344.378
China,Asia,2020,31.52,9451.96,38793.25,1348.411
China,Asia,2021,31.9,10222.93,40755.85,1352.457
China,Asia,2022,30.91,11629.27,42328.23,1356.514
China,Asia,2023,31.1,13506.55,44323.87,1360.583
Denmark,Europe,2000,17.32,30592.26,200.94,5.3
Denmark,Europe,2001,17.87,32031.68,201.58,5.316
Denmark,Europe,2002,17.07,32316.36,199.42,5.332
Denmark,Europe,2003,16.9,33588.88,199.37,5.348
Denmark,Europe,2004,17.43,36672.92,198.33,5.364
Denmark,Europe,2005,18.07,36062.45,197.78,5.38
Denmark,Europe,2006,18.58,37424.18,195.92,5.396
Denmark,Europe,2007,18.65,40457.0,197.53,5.412
