year,country,region,production_million_bags,export_value_million_usd,domestic_consumption_kg_per_capita,world_price_index
2000,Brazil,South America,41.11,3212.4,6.33,128.3
2001,Brazil,South America,40.37,3584.7,6.37,140.3
2002,Brazil,South America,41.96,3970.7,6.19,155.8
2003,Brazil,South America,42.95,4157.7,6.67,151.5
2004,Brazil,South America,43.79,4173.3,6.24,160.5
2005,Brazil,South America,43.43,4694.8,6.65,168.1
2006,Brazil,South America,45.52,4727.7,6.6,165.6
2007,Brazil,South America,45.83,5038.9,6.69,169.9
2008,Brazil,South America,47.89,5082.5,6.77,170.6
2009,Brazil,South America,48.08,4625.5,6.67,167.4
2010,Brazil,South America,47.35,4496.9,6.74,158.2
2011,Brazil,South America,48.1,5850.7,7.15,205.0
2012,Brazil,South America,47.85,4092.6,6.99,140.3
2013,Brazil,South America,47.46,4320.1,7.23,141.8
2014,Brazil,South America,49.59,3914.3,7.31,130.3
2015,Brazil,South America,50.5,3624.8,6.81,123.6
2016,Brazil,South America,51.9,3767.9,7.23,114.2
2017,Brazil,South America,52.64,3686.1,7.3,115.4
2018,Brazil,South America,55.76,3793.3,7.45,111.4
2019,Brazil,South America,60.3,3831.0,7.27,104.4
2020,Brazil,South America,59.7,3497.9,7.3,92.3
2021,Brazil,South America,59.43,5814.4,7.64,154.1
2022,Brazil,South America,62.45,6187.3,7.44,160.6
2023,Brazil,South America,63.0,4227.5,7.18,118.2
2000,Colombia,South America,8.58,749.6,2.88,132.2
2001,Colombia,South America,8.71,726.8,2.96,136.1
2002,Colombia,South America,8.89,771.6,2.97,148.0
2003,Colombia,South America,8.94,971.1,3.21,155.6
2004,Colombia,South America,9.37,901.4,2.84,157.5
2005,Colombia,South America,9.17,942.1,3.19,163.1
2006,Colombia,South America,9.32,923.9,2.81,165.3
2007,Colombia,South America,9.63,951.7,3.04,168.4
2008,Colombia,South America,10.05,1019.6,2.91,164.4
2009,Colombia,South America,10.38,1131.4,3.0,159.0
2010,Colombia,South America,10.45,1102.0,3.56,155.7
2011,Colombia,South America,11.2,1325.5,3.26,194.4
2012,Colombia,South America,11.06,1003.3,3.22,153.9
2013,Colombia,South America,11.09,1001.7,3.23,142.5
2014,Colombia,South America,10.71,811.2,3.27,131.2
2015,Colombia,South America,10.67,825.1,3.26,123.3
2016,Colombia,South America,10.78,841.5,3.38,119.8
2017,Colombia,South America,10.85,769.2,3.39,114.1
2018,Colombia,South America,11.04,737.7,3.41,106.1
2019,Colombia,South America,10.9,841.2,3.5,115.4
2020,Colombia,South America,11.27,620.1,3.65,94.0
2021,Colombia,South America,11.73,1154.5,3.26,155.1
2022,Colombia,South America,11.3,1158.2,3.38,161.6
2023,Colombia,South America,11.5,842.6,3.57,116.6
2000,Ethiopia,Africa,4.34,307.4,3.01,122.0
2001,Ethiopia,Africa,4.46,345.7,3.33,129.5
2002,Ethiopia,Africa,4.59,419.9,3.41,146.1
2003,Ethiopia,Africa,4.62,456.7,3.47,160.0
2004,Ethiopia,Africa,4.78,457.7,3.25,161.3
2005,Ethiopia,Africa,4.76,450.5,3.31,159.6
2006,Ethiopia,Africa,4.84,558.9,3.2,171.5
2007,Ethiopia,Africa,4.97,498.8,3.49,170.6
2008,Ethiopia,Africa,5.19,489.5,3.58,167.3
2009,Ethiopia,Africa,5.22,512.0,3.34,162.4
2010,Ethiopia,Africa,5.3,529.0,3.49,157.5
2011,Ethiopia,Africa,5.3,670.2,3.74,200.4
2012,Ethiopia,Africa,5.39,451.1,3.74,145.7
2013,Ethiopia,Africa,5.4,487.9,3.67,138.1
2014,Ethiopia,Africa,5.44,450.4,3.93,131.2
2015,Ethiopia,Africa,5.64,465.8,3.7,132.7
2016,Ethiopia,Africa,5.76,417.8,3.76,122.2
2017,Ethiopia,Africa,6.32,448.0,3.62,112.5
2018,Ethiopia,Africa,6.75,384.6,3.61,102.6
2019,Ethiopia,Africa,6.84,439.4,4.1,105.2
2020,Ethiopia,Africa,6.88,412.0,3.89,101.5
2021,Ethiopia,Africa,6.94,646.4,3.9,152.4
2022,Ethiopia,Africa,7.27,710.3,4.07,160.4
