tenure_months,monthly_charges,total_charges,num_support_calls,contract_type,has_tech_support,has_online_security,internet_service,payment_method,num_dependents,satisfaction_score,churned
25.1,29.91,692.28,1,month-to-month,0,0,None,Mailed check,0,8.64,0
34.0,84.96,2852.09,3,one-year,0,0,Fiber optic,Bank transfer,0,5.2,1
22.0,72.67,1614.23,3,month-to-month,0,0,Fiber optic,Mailed check,1,5.02,1
19.7,50.69,1042.84,2,month-to-month,0,1,DSL,Bank transfer,0,5.56,1
37.0,95.64,3212.7,1,month-to-month,1,1,Fiber optic,Mailed check,2,4.52,0
21.0,15.0,299.43,0,month-to-month,1,0,Fiber optic,Electronic check,0,6.96,0
28.2,80.4,1937.03,1,month-to-month,0,1,DSL,Credit card,0,7.24,1
26.3,118.58,2805.93,0,month-to-month,1,1,Fiber optic,Credit card,0,7.95,0
36.9,113.2,3865.94,2,two-year,0,1,Fiber optic,Electronic check,0,4.83,0
17.3,81.69,1366.84,2,one-year,0,0,DSL,Electronic check,1,8.18,0
45.5,60.95,2621.08,1,month-to-month,1,0,Fiber optic,Mailed check,0,4.52,0
14.1,50.93,661.34,0,month-to-month,0,1,Fiber optic,Bank transfer,1,8.18,0
29.4,60.91,1747.61,1,month-to-month,0,1,DSL,Electronic check,0,3.53,0
27.1,86.31,2375.86,1,month-to-month,1,0,DSL,Credit card,1,9.64,0
13.1,45.78,537.45,0,month-to-month,0,1,DSL,Electronic check,0,5.46,0
31.1,92.72,2652.36,0,two-year,0,0,Fiber optic,Credit card,0,7.7,0
18.3,133.99,2428.16,1,one-year,1,1,Fiber optic,Electronic check,1,7.86,1
9.8,68.14,668.34,1,month-to-month,1,1,DSL,Credit card,0,3.96,0
33.9,29.67,1019.88,3,month-to-month,0,1,None,Credit card,0,8.17,0
6.8,29.66,179.59,2,one-year,1,1,None,Credit card,1,5.4,0
11.4,93.3,1015.19,3,two-year,0,0,Fiber optic,Credit card,1,5.89,0
21.9,68.21,1535.94,0,month-to-month,0,0,None,Mailed check,2,5.16,0
36.8,96.3,3287.15,3,two-year,0,1,Fiber optic,Bank transfer,1,9.73,0
32.5,53.99,1640.8,2,month-to-month,0,1,DSL,Bank transfer,3,4.16,1
24.8,94.92,2466.69,4,one-year,1,0,Fiber optic,Electronic check,2,7.36,1
4.9,65.25,276.37,0,month-to-month,1,1,DSL,Credit card,1,5.25,0
13.6,48.02,645.54,0,one-year,0,0,Fiber optic,Bank transfer,2,8.68,0
16.0,57.97,948.07,0,month-to-month,0,0,None,Mailed check,0,10.0,0
9.4,34.09,280.88,2,month-to-month,0,1,Fiber optic,Electronic check,1,5.24,0
3.6,129.68,465.66,2,one-year,1,1,DSL,Bank transfer,1,6.78,0
22.6,67.11,1433.47,2,one-year,0,1,DSL,Credit card,0,5.73,0
33.2,89.34,3023.82,2,one-year,1,1,None,Electronic check,0,8.58,0
15.1,53.89,837.72,2,month-to-month,0,0,DSL,Credit card,0,6.0,0
36.5,38.44,1435.69,2,one-year,0,0,None,Bank transfer,3,8.31,0
6.0,62.98,327.82,2,month-to-month,1,1,DSL,Credit card,1,5.7,1
8.9,103.04,915.17,0,one-year,1,0,Fiber optic,Electronic check,2,10.0,1
22.3,54.38,1253.59,1,month-to-month,0,0,DSL,Electronic check,2,2.12,1
14.1,43.88,602.18,0,month-to-month,0,0,DSL,Bank transfer,2,7.25,0
31.3,74.66,2270.28,1,month-to-month,1,0,DSL,Mailed check,0,6.48,1
27.9,84.97,2039.61,1,two-year,1,0,DSL,Mailed check,2,6.41,1
14.9,119.29,1813.38,1,one-year,1,0,DSL,Bank transfer,1,7.07,0
6.6,80.61,457.56,1,month-to-month,1,1,DSL,Electronic check,0,6.62,0
13.6,89.32,1106.57,0,one-year,1,0,Fiber optic,Mailed check,0,6.94,0
28.4,91.58,2693.29,1,month-to-month,0,0,Fiber optic,Mailed check,0,7.32,0
32.2,35.41,1185.02,3,month-to-month,0,0,DSL,Mailed check,1,10.0,0
14.1,41.1,608.97,1,month-to-month,0,1,Fiber optic,Bank transfer,1,0.97,1
3.6,37.48,127.36,3,one-year,1,0,Fiber optic,Electronic check,3,10.0,0
5.7,30.04,151.87,0,two-year,0,0,None,Credit card,0,10.0,0
26.9,93.86,2388.56,1,two-year,0,1,Fiber optic,Bank transfer,0,3.0,1
14.7,78.7,1006.7,2,month-to-month,1,0,Fiber optic,Electronic check,0,6.6,1
15.0,72.38,1110.37,1,month-to-month,0,0,None,Bank transfer,0,9.24,0
8.7,15.0,126.17,2,two-year,1,1,None,Electronic check,0,8.34,0
8.6,131.66,1053.74,2,month-to-month,0,0,None,Electronic check,0,9.85,1
36.0,43.17,1347.53,1,one-year,1,0,Fiber optic,Bank transfer,0,7.24,1
27.5,131.55,3369.91,4,two-year,0,0,Fiber optic,Electronic check,2,2.43,1
12.1,26.52,329.34,1,month-to-month,0,1,None,Bank transfer,0,9.11,0
21.1,45.63,955.51,1,month-to-month,0,1,Fiber optic,Mailed check,1,7.77,0
23.8,15.0,309.67,0,two-year,0,1,DSL,Mailed check,1,9.43,0
56.5,80.86,4029.05,0,one-year,1,1,None,Bank transfer,0,3.43,0
8.0,36.96,273.35,0,two-year,1,1,None,Bank transfer,1,4.07,0
23.6,37.81,776.74,0,one-year,0,0,DSL,Electronic check,1,6.53,0
35.9,28.82,1073.72,0,month-to-month,0,0,DSL,Credit card,0,9.17,0
52.3,93.32,4786.49,2,two-year,1,1,None,Bank transfer,0,9.72,0
11.6,91.34,923.6,3,one-year,0,1,DSL,Mailed check,1,5.05,1
14.5,124.36,1823.04,1,two-year,1,0,Fiber optic,Electronic check,0,5.69,0
31.5,49.43,1440.08,0,month-to-month,0,0,DSL,Mailed check,1,10.0,0
4.8,76.56,328.46,3,month-to-month,0,0,DSL,Bank transfer,0,5.39,1
25.3,31.32,762.68,2,month-to-month,0,0,Fiber optic,Electronic check,3,7.85,1
69.6,59.95,3558.84,0,month-to-month,0,0,None,Mailed check,1,5.6,0
