year,USA,USSR_Russia,China,Europe,Japan,India,Other
1957,1,1,0,0,0,0,0
1958,3,4,0,0,0,0,0
1959,9,13,0,0,0,0,0
1960,13,24,0,0,0,0,0
1961,18,33,0,0,0,0,0
1962,24,37,0,0,0,0,0
1963,30,41,0,0,0,0,0
1964,31,50,0,0,0,0,0
1965,35,56,0,0,0,0,0
1966,38,57,0,0,0,0,0
1967,37,62,0,0,0,0,0
1968,41,62,0,0,0,0,0
1969,41,66,0,0,0,0,0
1970,43,62,3,0,2,0,0
1971,36,72,4,0,2,0,0
1972,45,66,3,0,3,0,0
1973,42,72,3,0,3,0,0
1974,46,71,4,0,2,0,0
1975,48,71,4,0,3,0,0
1976,33,89,4,0,3,0,0
1977,33,83,5,0,3,0,0
1978,33,81,4,0,3,0,0
1979,25,75,4,11,3,0,0
1980,31,64,3,10,2,1,0
1981,24,73,3,9,2,1,0
1982,25,70,4,12,3,1,0
1983,29,68,4,11,3,1,0
1984,25,76,3,9,3,1,0
1985,27,74,3,9,3,1,0
1986,29,70,4,11,3,1,0
1987,29,71,3,11,3,1,0
1988,25,78,4,9,3,1,0
1989,26,78,3,10,3,1,0
1990,26,75,4,11,3,1,2
1991,26,66,4,12,2,1,2
1992,38,45,5,12,3,2,3
1993,34,41,4,13,3,1,2
1994,33,37,5,11,3,2,2
1995,30,36,4,10,2,1,2
1996,29,37,4,10,3,1,2
1997,27,37,4,11,3,1,2
1998,28,37,3,12,2,1,2
1999,28,37,4,10,3,1,2
2000,28,31,11,10,2,1,2
2001,28,27,11,8,2,1,2
2002,25,26,10,7,2,1,1
2003,23,24,9,7,2,1,1
2004,20,23,7,7,2,1,1
2005,18,21,6,6,1,1,1
2006,20,21,8,6,1,1,1
2007,23,20,8,7,2,1,1
2008,25,23,8,7,1,1,1
2009,26,24,9,7,2,1,1
2010,26,27,9,7,2,1,1
2011,34,13,13,11,3,1,2
2012,39,13,14,9,3,1,2
2013,39,14,12,11,3,1,2
2014,37,13,15,12,2,4,2
2015,40,13,21,6,3,3,2
2016,50,11,23,5,3,3,2
2017,53,13,25,5,3,4,2
2018,55,12,31,6,3,4,2
2019,46,14,27,6,3,4,3
2020,63,13,25,5,3,4,2
2021,82,17,31,7,3,4,2
2022,104,22,41,8,4,5,3
2023,140,18,44,8,4,6,3
2024,160,24,53,9,4,6,3
